3/2/26,Testing and punchlist tracking,,,,,,,,
,,,,,,,,,
,click-Analytics,Links to Clinical Intelligence Page,User directed to clinical intelligence,Fail,,,,NOTE:  Should 'quick actions' be at the top of the page? AND return to dashboard scroll spot,
,click-Interactions,Links to Interactions checker page,User directed to interactions page,Fail,,,,NOTE:  Should 'quick actions' be at the top of the page? AND return to dashboard scroll spot,
,Back button,Missing,missing,Fail,,,,"""  Also, there is no 'back' button, just a 'return to catalog'.  Shouldn't it take user back to 'Dashboard'?",
,click-Export Data,Links to export data page,User directed to export data page,Fail,,,,NOTE:  Should 'quick actions' be at the top of the page? AND return to dashboard scroll spot,
,Click-Benchmarks,Links to Clinic performance Radar,user directed to Clinic performance Radar,tbd,,,,"NOTE:  Should 'quick actions' be at the top of the page? AND return to dashboard scroll spot.  ""  Also, there is no 'back' button.  It dead ends.  Shouldn't it take user back to 'Dashboard'?",
Quick Links,Dashboard,return to top of dashboard page,"nothing happens, presumably because we are already on the Dashboard page",fail,,,,Suggest returning to top or remove 'dashboard' quick link as it does nothing right now.,
,My Protocols,Takes user to My Protocols page,My protocols page come up,Pass,,,,,
,Analytics,Takes user to Clinical Intelligence Page,Clinical intelligence page comes up,Pass,,,,,
,Membership Tiers,Takes user to 'choose your plan' page,User directed to 'choose your plan' page,Pass,,,,,
,Back button,,,Fail,,,,There is no navigation back once clicked.,
Compliance,Click Privacy,Takes user to privacy page,Privacy and Anonymity page appears,Pass,,,,,
,Back to portal link,Takes user back to Dashboard page,SIGNS USER OUT and directs to signin page,Fail,,,,Signs user out and sends to landing page,
,Terms of Service,Takes user to TErms of service page,No action,Fail,,,,Not sure where this is supposed to go?,
,,,,,,,,,
,,,,,,,,,
Search page,,,,,,,,,
,click 'back' button,return to default 'dashboard' page,retuns to 'dashboard' page,Pass,,,,,
,click 'portal' button,return to default 'dashboard' page,retuns to 'dashboard' page,pass,,,,,
,(Visual question),,,,,,,"There is a series of 'quick' links right below the search bar.  Directly below those quick links are the identical, more expansive' , 'CLINICAL TOOLS' links.  SUGGEST simplifying to only 1 set.",
,Click 'full 3...' button,Directs to Wellness Journey,Directs to wellness journey,Pass,,,,,
,click back button,Direcdts back to 'Search Page',does not return to search page,Fail,,,,it redirects to 'start a wellness session' page,
,Click 'interaction checker',Directs to interaction checker,,,,,,,
,No back button,Expect to return to 'search page',returns to 'Substance Library;,FAil,,,,,
,click 'substance library',expect to direct to 'search page',returns to 'search page',pass,,,,,
,click back button,expect to return to 'search page',returns to 'search page',pass,,,,,
,click 'clinical analytics',expect to go to 'clinical analytics' page,Directs to 'clinical intelligence page',TBD,,,,Q- is the diff between clinical 'analytics' and 'intelligence' wording necessary or okay?,
,click back button,expect to return to 'search page',returns to search page,Pass,,,,,
,,,,,,,,,
Search page - AFFINITY,Confirm data is accurate w/ Dr. Allen AND use cases,,,,,,,,
,,,,,,,,,
Global Benchmark Intelligence,Unclear casual user benefit?  Science?,,,,,,,Q- is this science level data?  Unclear if casual user will benefit. ,
,,,,,,,,,
Landmark Study Benchmarks,Unclear casual user benefit?  Science?,,,,,,,Q- is this science level data?  Unclear if casual user will benefit. ,
,,,,,,,,,
Quck links (bottom of page),click dashboard,redirect to dashboard,redirects to dashboard,Pass,,,,,
,click My Protocols,redirect to My protocols page,redirects to My Protocols page,pass,,,,,
,Back button,redirects back to search page,,,,,,,
,Click Analytics,redirects to 'Clinical intelligence' page,redirects to 'clinical intelligence' page,pass,,,,,
,click Membership Tiers,redirects to 'membership tiers' page,redirects to 'membership tiers' page,pass,,,,,
,Missing 'back button',,Dead end,Fail,,,,"No option to return to previous page, or ANY page in the portal.",
,click 'privacy and anon...' link,redirects to 'privacy and anonymity' page,redirects to 'privacy...' page,Pass,,,,,
,click terms of service link,direct to 'terms of service' page,no action,Fail,,,,Should display Terms and include 'back' button.,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Use Cases,,,,,,,,,
,Select 'change' configuration for newly created patient,Click 'change',Directed to NEW PATIENT Setup screen,Fail,,,,"A new patient ID is created INSTEAD of updating the existing patient ID configuration items of age, weight and gender.",
,,,,,,,,,
,Click 'MEQ-30',MEQ 30 questionnair appears,Questionnaire appears,Pass,,,,,
,submit MEQ-30,Return to Step 1 in Preparation,Consent form appears,Fail,,,,,
,"Fill out consent, check box, save/exit, or save consent documentation",REturns to Step 2 'safety check',Screen freezes. Nothing is submitted/saved and user must close the consent box 'X'.,Fail,,,,Consent should save and move to step 2 'safety.',
,,,,,,,,,
,click Step 2 'Safety Check',Directs to Safety Check screen,directs to safety check screen,pass,,,,,
,Hover over C-SSRS Score '?',Dialogue box explaining C-SSRS,No result,Fail,,,,,
,Hover over 'Safety concerns' ?,Dialogue box explaining Safety Concerns,No result,FAil,,,,,
,Hover over 'Actionsl ?,Dialogure box explaining actions,No result,FAil,,,,,
,,,,,,,,,
,Click Amend from SAfety check section on 'main screen',Previous entries are visible and can be updated and saved.,No previous entries are marked,FAil,,,,,
,,,,,,,,,
,"From Safety check completion, select Save and Continue",Should take user to the Mental health screen,User is taken to mental health screen,Pass,,,,,
,,,,,,,,,
,Select Psychometric Scores,Scores remain as slected,Scores appear static,Pass,,,,"NOTE:  These should tie to the Configuration screen selections of PTSD, Depression, etc?",
,Hover over ?,applicable information appears,no result,Fail,,,,,
,Baseline physiology,Scores remain as slected,Scores appear static,Pass,,,,,
,Hover over ?,applicable information appears,no result,Fail,,,,,
,,,,,,,,,
,Hover over ''SAfety and medications',additional information appears,additional information appears,Pass,,,,,
,Switch safety toggle,Additional information appears in Clinical and Severy dropdowns,Additional information appears,Pass,,,,,
,Concomitant Medications toggle,Additional medications drop down appears,Additional information appears,Pass,,,,,
,Hover over ?,Description of 'concomitant' appears and applicability,Formula based descripton appears,FAil,,,,"I think it would be more useful to include the def for concomitant, or reword to 'additional medications' here.",
,,,,,,,,,
,From main 4 step page - select 'amend' for Mental Health,Previous entries should appear saved,Previous entries appear,Pass,,,,,
,Click Save/exit',REturns the main 4 step screen,returns to the main 4 step screen ,pass,,,,,
,Click 'save and continue',moves process forward to step 4 Set and Setting,moves to set and setting,pass,,,,,
,,,,,,,,,
,,,Treatment Expectancy',Fail,,,,Clarify this is by adding PATIENT TREATMENT EXPECTANCY.,
,,,,,,,,,
,,,,,,,,,
Molecular Pharmacology,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Choose your plan page,,,,,,,,,
